ticker,company_name,industry_group,cik,fiscal_year,rd_expense_usd,rd_expense_musd,rd_expense_busd,sec_fact_tag,form,filed_date,source_url,crawl_time,raw_file
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2020,1348000000.0,1348.0,1.348,ResearchAndDevelopmentExpense,10-K,2021-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2021,1742000000.0,1742.0,1.742,ResearchAndDevelopmentExpense,10-K,2022-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2022,1745000000.0,1745.0,1.745,ResearchAndDevelopmentExpense,10-K,2023-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2023,1503000000.0,1503.0,1.503,ResearchAndDevelopmentExpense,10-K,2024-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2024,1584000000.0,1584.0,1.584,ResearchAndDevelopmentExpense,10-K,2025-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2025,1598000000.0,1598.0,1.598,ResearchAndDevelopmentExpense,10-K,2026-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2011,30747000.0,30.747,0.030747,ResearchAndDevelopmentExpense,10-K,2012-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2012,39500000.0,39.5,0.0395,ResearchAndDevelopmentExpense,10-K,2013-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2013,44800000.0,44.8,0.0448,ResearchAndDevelopmentExpense,10-K,2014-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2014,69400000.0,69.4,0.0694,ResearchAndDevelopmentExpense,10-K,2015-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2015,137500000.0,137.5,0.1375,ResearchAndDevelopmentExpense,10-K,2016-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2016,156100000.0,156.1,0.1561,ResearchAndDevelopmentExpense,10-K,2017-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2017,185400000.0,185.4,0.1854,ResearchAndDevelopmentExpense,10-K,2018-02-27,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2018,199700000.0,199.7,0.1997,ResearchAndDevelopmentExpense,10-K,2019-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
DXCM,"DexCom, Inc.",Medical Devices,0001093557,2019,273500000.0,273.5,0.2735,ResearchAndDevelopmentExpense,10-K,2020-02-13,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093557.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001093557_44f9f536532bc4f4.json
